freq_confoc,freq_non_confoc,volt_laser
-1233307702.2569761,-1221137696.272924,0.0035698544
-1233187016.0946226,-1221017698.8370652,0.0007809098
-1233066328.1175642,-1220897699.5780673,0.0004090504
-1232945638.325799,-1220777698.4959283,0.0007809098
-1232824946.7193308,-1220657695.590652,-0.0023798943
-1232704253.2981548,-1220537690.8622336,0.0004090504
-1232583558.062276,-1220417684.310676,0.0035698544
-1232462861.011691,-1220297675.9359775,0.0035698544
-1232342162.1464014,-1220177665.7381406,0.0007809098
-1232221461.4664059,-1220057653.7171636,0.0004090504
-1232100758.9717054,-1219937639.8730474,0.0007809098
-1231980054.6623,-1219817624.20579,0.0004090504
-1231859348.538189,-1219697606.7153935,0.0035698544
-1231738640.5993729,-1219577587.401856,0.0035698544
-1231617930.845852,-1219457566.2651792,0.0035698544
-1231497219.277625,-1219337543.3053622,0.0035698544
-1231376505.8946943,-1219217518.5224051,0.0063587991
-1231255790.6970568,-1219097491.9163089,0.0067306584
-1231135073.6847153,-1218977463.4870725,0.0035698544
-1231014354.857667,-1218857433.234696,0.0035698544
-1230893634.2159157,-1218737401.1591802,0.0007809098
-1230772911.7594576,-1218617367.2605233,0.0004090504
-1230652187.4882946,-1218497331.5387282,0.0035698544
-1230531461.4024277,-1218377293.993793,0.0007809098
-1230410733.501854,-1218257254.6257167,-0.0023798943
-1230290003.7865744,-1218137213.4345002,0.0004090504
-1230169272.2565918,-1218017170.4201455,0.0035698544
-1230048538.9119024,-1217897125.5826488,0.0035698544
-1229927803.752509,-1217777078.9220138,0.0035698544
-1229807066.77841,-1217657030.4382377,0.0063587991
-1229686327.989606,-1217536980.1313233,0.0067306584
-1229565587.386096,-1217416928.001267,0.0035698544
-1229444844.9678812,-1217296874.0480733,0.0035698544
-1229324100.7349615,-1217176818.2717385,0.0007809098
-1229203354.687337,-1217056760.6722636,0.0004090504
-1229082606.8250055,-1216936701.2496486,0.0007809098
-1228961857.1479712,-1216816640.0038943,0.0004090504
-1228841105.65623,-1216696576.934999,0.0035698544
-1228720352.3497858,-1216576512.0429654,0.0035698544
-1228599597.228633,-1216456445.3277907,0.0007809098
-1228478840.292777,-1216336376.789476,0.0004090504
-1228358081.5422153,-1216216306.428022,0.0035698544
-1228237320.9769497,-1216096234.2434287,0.0035698544
-1228116558.5969772,-1215976160.2356944,0.0035698544
-1227995794.4023008,-1215856084.40482,0.0063587991
-1227875028.3929167,-1215736006.7508063,0.0067306584
-1227754260.5688295,-1215615927.2736526,0.0007809098
-1227633490.9300385,-1215495845.9733605,0.0004090504
-1227512719.4765396,-1215375762.8499265,0.0035698544
-1227391946.2083368,-1215255677.9033523,0.0035698544
