timestamp,volt_laser,volt_piezo,volt_ld,offset
0.009588627,1.20721,7.944038668844846,0.0021432452526026,-0.17703387032433882
0.009593627,1.20746,7.945381444891749,0.0021432821428085,-0.1767673336309541
0.009598627,1.20766,7.946724220938651,0.0021433190330143,-0.17655079693756948
0.009603627,1.2078,7.9480669969855535,0.0021433559232201,-0.1763942602441848
0.009608627,1.20788,7.949409773032456,0.0021433928134259,-0.1762977235508001
0.009613627,1.20794,7.9507525490793585,0.0021434297036317,-0.1762211868574155
0.009618627,1.20802,7.952095325126261,0.0021434665938375,-0.17612465016403078
0.009623627,1.20814,7.953438101173163,0.0021435034840433,-0.17598811347064625
0.009628627,1.2083,7.954780877220067,0.0021435403742492,-0.17581157677726167
0.009633627,1.20853,7.956123653266969,0.002143577264455,-0.17556504008387686
0.009638627,1.20878,7.957466429313872,0.0021436141546608,-0.17529850339049236
0.009643627,1.20909,7.958809205360774,0.0021436510448666,-0.17497196669710768
0.009648627,1.20943,7.960151981407677,0.0021436879350724,-0.17461543000372304
0.009653627,1.2098,7.961494757454579,0.0021437248252782,-0.17422889331033842
0.009658627,1.21013,7.962837533501482,0.002143761715484,-0.17388235661695362
0.009663627,1.21053,7.964180309548384,0.0021437986056898,-0.1734658199235688
0.009668627,1.21092,7.9655230855952865,0.0021438354958957,-0.17305928323018427
0.009673627,1.21129,7.966865861642189,0.0021438723861015,-0.17267274653679965
0.009678627,1.21165,7.9682086376890915,0.0021439092763073,-0.1722962098434151
0.009683627,1.21202,7.969551413735994,0.0021439461665131,-0.17190967315003025
0.009688627,1.21238,7.970894189782896,0.0021439830567189,-0.1715331364566457
0.009693627,1.21278,7.972236965829799,0.0021440199469247,-0.1711165997632611
0.009698627,1.2132,7.973579741876701,0.0021440568371305,-0.17068006306987638
0.009703627,1.2137,7.974922517923604,0.0021440937273364,-0.1701635263764918
0.009708627,1.21427,7.976265293970506,0.0021441306175422,-0.1695769896831072
0.009713627,1.21486,7.977608070017409,0.002144167507748,-0.16897045298972246
0.009718627,1.21545,7.978950846064311,0.0021442043979538,-0.16836391629633796
0.009723627,1.21607,7.980293622111214,0.0021442412881596,-0.16772737960295325
0.009728627,1.21669,7.981636398158116,0.0021442781783654,-0.16709084290956833
0.009733627,1.21733,7.982979174205019,0.0021443150685712,-0.16643430621618371
0.009738627,1.21792,7.984321950251921,0.0021443519587771,-0.1658277695227992
0.009743627,1.21854,7.985664726298824,0.0021443888489829,-0.1651912328294145
0.009748627,1.21908,7.987007502345726,0.0021444257391887,-0.16463469613602988
0.009753627,1.21964,7.988350278392629,0.0021444626293945,-0.16405815944264512
0.009758627,1.22014,7.989693054439532,0.0021444995196003,-0.16354162274926054
0.009763627,1.22062,7.991035830486434,0.0021445364098061,-0.16304508605587587
0.009768627,1.22107,7.992378606533337,0.0021445733000119,-0.16257854936249116
